genes,name,source,SystemsTerm,NonSystemsTerm,Systems_Publications,Cancer_Publications,MutationNumber,GeneNumber
RNASE1|RAB11FIP3|PLD1|PLD2|MAPK3|KALRN|PIP5K1A|ARF6|RAB11A|TIAM1|MAPK1|PLAUR|ARF1P1|RHOA|NME1,Arf6 downstream pathway,PID,"(ARF6 pathway AND cancer) AND (""systems biology"" OR computational)",(ARF6 pathway AND cancer),1,55,193,15
TGFBR1|CYR61|ITGB7|FN1|ITGB6|PLAUR|EDIL3|SDC1|ITGA4|PLAU|VTN|ITGAV|VCAM1|ITGB8|ITGB5|FBN1|MADCAM1,Beta5 beta6 beta7 and beta8 integrin cell surface interactions,PID,"((beta5 OR beta6 OR beta7 OR beta8) AND integrin AND interaction AND cancer) AND (""systems biology"" OR computational)",((beta5 OR beta6 OR beta7 OR beta8) AND integrin AND interaction AND cancer),0,52,273,17
EXOC4|ITGA8|CLTC|ITGA9|ITGA1|ITGA2|ITGA3|ITGA4|CPE|ITGA6|ITGA7|CTNNB1|ITGA10|ITGA11|CTNND1|DNM2|TSHR|BIN1|ARF6|CDH1|NME1|ITGB1|SCAMP2|SPAG9|ACAP1|ITGA5|CTNNA1|MAPK8IP3|EXOC2|EXOC3|VAMP3|EXOC6|EXOC7|PLD2|EXOC5|PIP5K1C|EXOC8|SLC2A4|ITGAV|INS|ASAP2|KLC1|RALA|PLD1|NFYC|COL11A2|SUMO1|STK11|ZFYVE9|DAB2|KIR3DL1|CAV1|EIF3I|DLG3|PIK3CA|ANAPC10|PARD6A|STRAP|SMAD4|ANXA2P3|IRF2BP1|RNF111|NUP214|SMAD6|CTAG1B|CYP27B1|HSPA8|FNTA|CAMK2D|CTSC|PPP2R2A|CAMK2A|CAMK2B|CSNK1G2|DVL1P1|STK4|SMAD2|KCNN1|GIPC1|FOXH1|PRKAR2A|ORM2|PPP2CA|FZR1|RUNX2|RUNX3|GRB2|EID2|PJA1|ASS1P2|PSG1|SNX2|SNX1|SNX6|SNX4|FOXG1-AS1|ITGA1|CDKN1A|UBE2D2|UBE2D3|UBE2D1|UBE2L4|DCP1A|CRK|SKI|AP2B1|XPO1|DAXX|HPRT1P3|CDC16|XPO4|PPM1A|TRAP1|ENG|VPS39|CTNNB1|RUNX1|PIK3R2|PIK3R1|DDX5|LINC00441|ANXA13|ACVRL1|FOS|MAGEB3|MAP2K3|ANAPC1|BLVRB|RHOA|ANAPC2|ANAPC5|ANAPC4|ANAPC7|ZEB2|UBE2I|RNASEH2A|ESR1|CDC27|ERBIN|SDC2|BRCA1P1|HNF4A|MEF2C|MEF2A|CCND1|CREBBP|HDAC1|MAP4K1|TGFB1|SNIP1|FOSB|SMAD7|PVT1|MAP3K7|TRPC2|TGFB3|ARRB2|LAMC3|MAPK14|NCOA3|NCOA1|SIK1|GPR143|BCAR1|E2F4|TRIM33|SPARC|CITED1|TGFBR3|TGFBR2|TGFBR1|DPAGT1|RBL2|MAPK8|DYRK1A|PARD3|UCHL5|IDDM15|EP300|PRAM1|LINC01228|NKS1|STAU1|ITGB8|SOS1|WWTR1|PPP1R15A|TP73|PIAS2|CDK1|CDK2|PIAS1|CDK6|OXTR|STAMBPL1|RPS13|PPP2R1A|TGFB2|PTK2|MRX25|JUND|FOXO3|NFYB|NFYA|SOX9|MAP2K6|ZNF17|ASS1P10|SPTBN1|SHC1|NUP153|KLF10|CASQ1|DYNC1I1|KCNK6|TFDP1|ETS1|MED15|EYA4|DYNLRB1|ITGB1|SMURF1|ITGB3|SMURF2|TRAF6|CD44|CHRM3|HGS|SMAD3|AR|SKIL|LCP2|COPS5|CCNB2|E2F5|SNW1|PPP1CC|TAB1|BTRC|NEDD4L|TGIF1|PDPK1|EWSR1|ATF3|ATF2,Arf6 trafficking events,PID,"(Arf6 AND trafficking AND cancer) AND (""systems biology"" OR computational)",(Arf6 AND trafficking AND cancer),1,49,2377,245
PDGFRB|GNAO1|AKT1|AKT3|GNAI2|GNAI3|GNAI1|NCOA3|S1PR3|MAPK3|MAPK1|JAK2|CXCR4|FLT1|RNASE1|PDGFB|VEGFA|RHOA|GNAQ|GNAZ|GNA14|GNA15|GNA12|GNA13|GNA11,S1P3 pathway,PID,"(S1P3 AND cancer) AND (""systems biology"" OR computational)",(S1P3 AND cancer),1,49,196,25
BCL2L1|NFATC1|NFATC2|MAP3K1|BAX|MAPK14|REXO2|FKBP8|XPO1|MAP3K8|CALM2|CALM3|CABIN1|FKBP1A|YWHAQ|CAMK4|MAPK3|YWHAH|NFATC3|NUP214|MAPK8|MAPK9|YWHAG|YWHAE|PRKCH|KPNB1|PIM1|PRKCA|PRKCB|PRKCE|PRKCD|PRKCG|YWHAB|LAMP5|PRKCZ|PRKCQ|EP300|CSNK2A1|CSNK1A1|AKAP5|YWHAZ|CASP3|NR4A1|GSK3B|RAN|PRKACA|KPNA2|MEF2D|CREBBP|BCL2,Role of Calcineurin-dependent NFAT signaling in lymphocytes,PID,"((calcineurin AND NFAT AND lymphocytes) AND cancer) AND (""systems biology"" OR computational)",((calcineurin AND NFAT AND lymphocytes) AND cancer),0,47,432,50
FOXP3|NFATC2|NFATC3|CD40LG|ITCH|NFATC1|TBX21|ATL1|IKZF1|LTBR|CALM2|CALM3|EGR2|EGR3|EGR1|JUN|EGR4|IL5|FOSL1|CDK4|DGKA|IL3|CTLA4|FOS|IFNG|MAF|PPARG|FASLG|PRKCQ|PTPN1|GATA3|IL2RA|RNASEH2A|CASP3|E2F1|IRF4|SLC3A2|CXCL8|CSF2|IL4|PACERR|IL2|CREM|RNF128|BATF3|MMAB|PTPRK|POU2F1,Calcineurin-regulated NFAT-dependent transcription in lymphocytes,PID,"((calcineurin AND NFAT AND lymphocytes) AND cancer) AND (""systems biology"" OR computational)",((calcineurin AND NFAT AND lymphocytes) AND cancer),0,47,368,48
PLCB2|GNAQ|GNB1|ROCK1|ROCK2|F2RL2|GNA14|GNA15|GNG2|GNA13|GNA11|F2RL3|MYL2|RHOA|RNY4P3,PAR4-mediated thrombin signaling events,PID,"((PAR4 AND thrombin) AND cancer) AND (""systems biology"" OR computational)",((PAR4 AND thrombin) AND cancer),0,46,117,15
PDGFRB|ITGA1|EGFR|GAB1|INSR|EGF|NCOA3|STAT3|STAT1|MET|PIK3CA|PIK3CB|CSF1R|GRB2|JAK3|PIK3R1|JAK1|KDR|ITGB1|PDGFB|SHC1|STAT6|KPNB1|LMAN1|HGF|PTPN2|PTPN1|SOS1|EIF2AK2|CSF1|EIF2A|INS|STAT5B|STAT5A|PIAS1|KPNA2|VEGFA|CREBBP,Signaling events mediated by TCPTP,PID,"(TCPTP AND cancer) AND (""systems biology"" OR computational)",(TCPTP AND cancer),0,39,595,38
SHC1|SOS1|HRAS|EGFR|GRB2|MTOR|EDN1|EDNRA|EGF,EGFR-dependent Endothelin signaling events,PID,"(EGFR AND endothelin AND cancer) AND (""systems biology"" OR computational)",(EGFR AND endothelin AND cancer),1,36,184,9
MMP14|TIMP1|VHL|ELOB|ELOC|SERPINE1|FLT1|ADORA2A|SLC11A2|TWIST1|HIF1AN|APEX1|ETS1|CITED2|KDR|PGK1|SIRT1|EGLN2|ABCG2|EFNA1|FXN|POU5F1|MIA3|EP300|EGLN3|EPAS1|EGLN1|SLC2A1|BHLHE40|ELK1|VEGFA|CREBBP|PSG1,HIF-2-alpha transcription factor network,PID,"(HIF2 alpha AND cancer) AND (""systems biology"" OR computational)",(HIF2 alpha AND cancer),1,33,311,33
CRKL|EPHA8|EPHA7|EPHA6|EPHA5|EPHA4|EPHA3|EPHA2|EPHA1|PLCG1|VTRNA2-1|CRK|YES1|NCOA3|FYN|FGR|PIK3CG|PIK3R6|LYN|NGEF|ARHGEF15|EFNA5|EFNA3|EFNA2|EFNA1|BLK|HCK|RHOA|VAV3|VAV2|ROCK1|CDK5|LCK,EPHA forward signaling,PID,"((EPHA AND forward) AND cancer) AND (""systems biology"" OR computational)",((EPHA AND forward) AND cancer),0,26,638,33
RPE65|GNAT1|CNGB1|RDH5|SAG|GRK1|LRAT|RGS9|GUCY2D|RHO|GUCY2F|GNB5|GNB1|SLC24A1|CNGA1|GNGT1|RGS9BP|PDE6B|PDE6A|PDE6G|RDH12|GUCA1A|GUCA1C|GUCA1B,Visual signal transduction Rods,PID,"(visual rods AND cancer) AND (""systems biology"" OR computational)",(visual rods AND cancer),0,26,226,24
CTTN|EGFR|AGRP|NCSTN|PSENEN|MC4R|NCOA3|APH1A|NCAN|PSEN1|FYN|CASK|FGF19|PTN|APH1B|POMC|FGFR4|FGFR2|FGFR3|CXCL8|SDC3|PRRT2|FGF23,Syndecan-3-mediated signaling events,PID,"(Syndecan-3 AND cancer) AND (""systems biology"" OR computational)",(Syndecan-3 AND cancer),0,24,286,23
ITCH|RRAD|SEC14L2|ITGA3|TCF7L1|REXO2|STXBP4|KRT5|IL1A|HBP1|AXL|TP63|RUNX1|DLX6-AS1|CEBPD|ATM|WWP1|RAB38|CDKN2A|PERP|FASN|CYP27B1|FOSL2|NRG1|DLX5|RACK1|ADRM1|FBXW7|HELLS|BRCA2|KRT14|MRE11|IGFBP3|COL5A1|T|ADA|MDM2|C21orf33|YAP1|CCNB2|BDKRB2|NOTCH1|GSK3B|GPX2|TOP2A|POU2F2|PPP2R5A,Validated transcriptional targets of deltaNp63 isoforms,PID,"(delta np63 AND cancer) AND (""systems biology"" OR computational)",(delta np63 AND cancer),0,22,524,47
ITGA8|ITGA9|ITGA1|ITGA2|ITGA3|ITGA4|ITGA5|ITGA6|ITGA7|RRAS|ITGA10|ITGA11|IQSEC1|SEMA4A|ARF6|PLXND1|ITGB1|VEGFA|NRP1|SEMA3C|SEMA3E|PIP5K1B|ITGAV|RND2,Plexin-D1 Signaling,PID,"(plexin-d1 AND cancer) AND (""systems biology"" OR computational)",(plexin-d1 AND cancer),0,22,385,24
ETV1|YWHAZ|MAPKAPK3|HSPB1|CDC25B|LSP1|YWHAQ|TCF7L1|CREB1|MAPKAPK2|MAPK14|YWHAH|REXO2|MAPK11|TH|YWHAB|YWHAG|BRAF|TSC2|SPATA6|YWHAE,p38 signaling mediated by MAPKAP kinases,PID,"((p38 and MAPKAP) AND cancer) AND (""systems biology"" OR computational)",((p38 and MAPKAP) AND cancer),0,22,150,21
HRAS|RAP1B|RAP1A|MAP2K3|MAP2K1|MAP2K6|MAP2K5|MAPKAPK2|MAPK14|MAP3K2|EGR1|NRAS|MAPK3|ELK1|CDK5R1|MAPK7|TRPV1|CDK5|NTF3|FOS|PRKCD|CREB1|RIT2|RIT1|KRAS|RPS6KA1|RPS6KA5|MEF2C|RUSC1|BRAF|MAPK1|SPATA6,Trk receptor signaling mediated by the MAPK pathway,PID,"((Trk AND MAPK) AND cancer) AND (""systems biology"" OR computational)",((Trk AND MAPK) AND cancer),0,19,446,32
BCL2L1|FOXP3|GAB2|PTPN11|ELF1|CCNA2|PIK3CA|STAT5A|JAK3|PIK3R1|JAK1|MYC|SHC1|LTA|FASLG|PRF1|IL2RA|IL2RB|SOS1|IL2RG|CCND3|CCND2|STAT5B|IL4|GRB2|IL2|CDK6|BCL2|LCK|PSG1,IL2 signaling events mediated by STAT5,PID,"((IL2 AND STAT5) AND cancer) AND (""systems biology"" OR computational)",((IL2 AND STAT5) AND cancer),0,16,282,30
UBE2I|HDAC1|NUP62|HDAC4|SUMO1|XPO1|RANGAP1|NUP153|RAN|PIAS1|PIAS2|NUP214|MDM2|NUP210|RANBP2,Sumoylation by RanBP2 regulates transcriptional repression,PID,"(RanBP2 AND transcription AND cancer) AND (""systems biology"" OR computational)",(RanBP2 AND transcription AND cancer),0,16,192,15
TSG101|USP8|PTK2|HRAS|STAMBP|EGFR|UBE2D3|UBE2D1|SPRY2|DNM1|VTRNA2-1|CHMP3|EGF|SH3GL2|NCOA3|ITSN1|PIK3CA|PIK3CB|NRAS|SYNJ1|PIK3R1|SH3KBP1|RAB5A|SHC1|EPS15|UBE2D2|EPN1|HGS|KRAS|AMPH|SOS1|LRIG1|ZFYVE28|GRB2|BRAF|ARHGEF7|MMAB|CDC42,Internalization of ErbB1,PID,"(erbb1 internalization AND cancer) AND (""systems biology"" OR computational)",(erbb1 internalization AND cancer),1,15,677,38
MAP3K8|FOS|PRKCA|HRAS|PRKCB|NRAS|MAPK3|MAP2K1|ELK1|BRAF|MAPK1|PTPN7|KRAS,Ras signaling in the CD4 TCR pathway,PID,"((RAS AND CD4 AND TCR) AND cancer) AND (""systems biology"" OR computational)",((RAS AND CD4 AND TCR) AND cancer),0,15,332,13
SPHK1|PTK2|LAT2|JUN|HRAS|GAB2|NFATC2|IKBKB|MAP2K2|MAP2K1|MAP2K7|IKBKG|PLA2G1B|MAP2K4|MS4A2|PLD2|FCER1G|FCER1A|PIK3CA|S1PR1|MAP3K1|FYN|DEFB119|MAPK3|DOK1|PXN|PIK3R1|SLC7A7|HCLS1|NFKB1|MAPK8|PTPN13|PLPP1|LYN|SHC1|FOS|PRKCB|FCGR2B|CHUK|PAK2|FER|IGHE|LCP2|PLA2G4A|KLRG1|RASA1|DUSP12|INPP5D|ITK|SOS1|AKT1|SYK|PTPN11|PLCG1|PRRT2|VAV1|GAD1|GRB2|BRAF|MAPK1|WIPF1|MMAB|BTK|VTRNA2-1,Fc-epsilon receptor I signaling in mast cells,PID,"((Fc epsilon receptor I AND mast cells) AND cancer) AND (""systems biology"" OR computational)",((Fc epsilon receptor I AND mast cells) AND cancer),0,14,671,64
ADCY4|ADCY5|ADCY6|ADCY7|ADCY1|ADCY2|ADCY3|ADCY8|GNAS|PRKCE|ADCY9|CREB1|PRKACA|GNAL|LPAR4|RPS6KA5,LPA4-mediated signaling events,PID,"(LPA4 AND cancer) AND (""systems biology"" OR computational)",(LPA4 AND cancer),1,14,316,16
RNASE1|TGM2|CSF2RA|TNC|ITGA9|PAOX|ADAM12|ADAM15|F13A1|ADAM8|NCOA3|PXN|ITGB1|SLC26A1|VEGFA|VCAM1|VEGFC|BCAR1|ADAM2|FN1|VEGFD|NANOS2|CSF2|SPP1,Alpha9 beta1 integrin signaling events,PID,"(alpha9 beta1 integrin AND cancer) AND (""systems biology"" OR computational)",(alpha9 beta1 integrin AND cancer),0,13,309,24
GNAO1|S1PR5|GNA12|GNAZ|RHOA|GNAI2|GNAI3|GNAI1,S1P5 pathway,PID,"(S1P5 AND cancer) AND (""systems biology"" OR computational)",(S1P5 AND cancer),0,13,43,8
S1PR5|GNAO1|GNAZ|S1PR4|MAPK3|PLCG1|MAPK1|GNA12|GNA13|RHOA|GNAI1|GNAI2|GNAI3|CDC42,S1P4 pathway,PID,"(S1P4 AND cancer) AND (""systems biology"" OR computational)",(S1P4 AND cancer),0,8,78,14
LRPAP1|NUDC|NDEL1|KATNA1|ABL1|DAB1|PAFAH1B3|IQGAP1|CALM2|CALM3|DYNLT1|PLA2G7|CLIP1|CDK5R1|RELN|CDK5R2|VLDLR-AS1|YWHAE|RNASE1|MAP1B|DYNC1H1|RHOA|PAFAH1B1|CSNK2A1|PAFAH1B2|LRP8|CDK5|PPP2R5D|CDC42,Lissencephaly gene (LIS1) in neuronal migration and development,PID,"((LIS1 AND neuronal migration) AND cancer) AND (""systems biology"" OR computational)",((LIS1 AND neuronal migration) AND cancer),0,7,320,29
MAP4K1|MAP3K8|PRKCB|DBNL|CRKL|SLC7A7|MAP3K1|JUN|MAP3K7|GRAP2|MAP2K4|CRK|LCP2|MAPK8,JNK signaling in the CD4 TCR pathway,PID,"((JNK AND CD4 AND TCR) AND cancer) AND (""systems biology"" OR computational)",((JNK AND CD4 AND TCR) AND cancer),0,7,151,14
RNASE1|NCOA3|PTK2|SHC1|INPPL1|NDUFAB1|PIK3CA|VAV3|VAV2|EPHA2|EFNA1|TIAM1|GRB2|ARHGAP35|PIK3R1|RHOA|BCAR1|PAK1,EPHA2 forward signaling,PID,"((EPHA2 AND forward) AND cancer) AND (""systems biology"" OR computational)",((EPHA2 AND forward) AND cancer),0,6,283,18
PTK2|GNAO1|HRAS|PELP1|AKT1|MAP2K1|GNAI2|GNAI3|GNAI1|NCOA3|PIK3CA|MAPK3|MAPK1|PIK3R1|RNASE1|PLCB1|PLCB2|PLCB3|FOS|GNB1|CREB1|PLCG2|AR|MAP2K2|PLCG1|GNAZ|SHBG|GNG2|BRAF|GNRH1|CDC42,Nongenotropic Androgen signaling,PID,"((androgen and non-genotropic) AND cancer) AND (""systems biology"" OR computational)",((androgen and non-genotropic) AND cancer),0,4,368,31
BCL2L1|UGCG|GAB2|NFATC2|EIF6|FOXO3|RPS6|SMPD1|SGMS1|CALM2|CALM3|PIK3CA|RPS6KB1|DEFB119|AKT1|JAK3|PIK3R1|JAK1|NFKB1|MYC|MYB|RNASE1|SHC1|PRKCZ|MTOR|IL2RA|IL2RB|TERT|SOS1|E2F1|IL2RG|PTPN11|GRB2|IL2|HSP90AA1|LCK|BCL2,IL2 signaling events mediated by PI3K,PID,"((IL2 AND PI3K) AND cancer) AND (""systems biology"" OR computational)",((IL2 AND PI3K) AND cancer),1,4,337,37
PRKCI|FYN|AKT1|PLCG1|ARRB2|WASL|MAPK10|MAP2K4|PIK3CA|PIK3CB|JUN|PARD6A|PIK3R1|KIRREL|MAPK8|MAPK9|RNASE1|F2RL2|LAMP5|PRKCZ|NPHS2|NPHS1|TJP1|NCK1|NCK2|CD2AP|GRB2|TRPC6,NephrinNeph1 signaling in the kidney podocyte,PID,"((NEPH1 AND podocyte) AND cancer) AND (""systems biology"" OR computational)",((NEPH1 AND podocyte) AND cancer),0,4,336,28
ERBB2|ERBB3|HRAS|EGFR|ITGA6|AKT1|REXO2|LAMB1|IL1A|LAMB3|LAMB2|EGF|SHC1|YWHAZ|PIK3CA|YWHAQ|RPS6KB1|MST1|CD9|YWHAH|PIK3R1|YWHAB|YWHAG|YWHAE|ITGB1|LAMA1|LAMA2|LAMA4|LAMA5|PRKCA|RXRG|RXRA|RXRB|LAMC2|PXMP2|LAMC1|CASP7|CASP3|ITGB4|MST1R|GRB2|RNASE1|GNS|PTK2|LAMA1|FYN|CD33|HLA-G|HLA-F|CD151|REXO2|CTNND2|ABL1|LAMB3|LAMB2|YES1|FADS3|CLCA2|LAMA5|YWHAZ|NCOA3|PIK3CA|CDR1|EPHB2|GRB2|YWHAH|KHK|TNFRSF8|PIK3R2|PIK3R1|YWHAB|PIK3R3|NPPC|RNMT|CDKN2B|ALDH3B2|LAMA2|LAMA4|ITGB4|PRKCA|EGFR|MYLK3|DSP|MEN1|POU4F1|LAMP5|CNGA3|PLEC|ALDH9A1|LAMC2|CXCL10|RHOA|VIM|MC5R|NTN1|EIF4E3|ERBB2|METTL1|LAMB1|MST1R|CCKAR|TP73|CST2|GPX3|AR|EIF4EBP1|ERBIN|SHC1,a6b1 and a6b4 Integrin signaling,PID,"((a6b1 OR a6b4) AND integrin AND cancer) AND (""systems biology"" OR computational)",((a6b1 OR a6b4) AND integrin AND cancer),0,3,1852,108
PLGRKT|HMGB1|RAP1B|RAP1A|SELPLG|LTBR|APOB|CEBPD|WISP2|AGER|MST1|TLN1|USP2-AS1|ICAM1|PLAUR|NFKB1|MYH2|ITGB2|PLAU|PLAT|HCK|RHOA|SELP|MST1R|ROCK1|C1D|ITGAM|MMP9|LPAR2|MMP2,amb2 Integrin signaling,PID,"(amb2 integrin AND cancer) AND (""systems biology"" OR computational)",(amb2 integrin AND cancer),0,1,483,30
GNAO1|MAPK14|GNAI2|GNAI3|GNAI1|S1PR2|JUN|MAPK3|ELK1|PIK3R1|MAPK8|CDH5|RNASE1|FOS|PIK3CA|RHOA|GNAQ|IRS1|GNAZ|GNA14|GNA15|GNA12|GNA13|GNA11|MAPK1|PAK1,S1P2 pathway,PID,"(SIP2 AND cancer) AND (""systems biology"" OR computational)",(SIP2 AND cancer),0,1,193,26
IL18|LTBR|ANTXR1|CALM3|ANTXR2|CASP1|MAP2K3|VCAM1|NLRP1|IL1B|CALM2|FURIN,Cellular roles of Anthrax toxin,PID,"(antrax toxin AND cancer) AND (""systems biology"" OR computational)",(antrax toxin AND cancer),0,1,123,12
BCL2L1|CDKN1B|CDKN1A|PRKDC|FOXO3|AKT1|FOXO1|AKT3|FOXO4|RICTOR|YWHAZ|NCOA3|YWHAQ|TBC1D4|MAP3K5|MAPKAP1|YWHAH|CASP9|YWHAB|YWHAG|YWHAE|CHUK|LAMP5|MTOR|PDPK1|MLST8|SLC2A4|GSK3A|AKT2|GSK3B|REXO2|PRKACA|BRAF|KPNA1|HSP90AA1|AKT1|MTOR|RPTOR|RPS6KB1|PIK3CA|MAP2K1|MAP2K2|MAPK1|MAPK3|GAB1|FOXO1|EGFR|PDPK1|RICTOR|MLST8|MAPKAP1|BRAF|GRB2|GSK3B|GYS1|EIF4EBP1|EIF4E|MKNK1|SOS1|HRAS|EGF,Class I PI3K signaling events mediated by Akt,PID,"((Class I PI3K AND AKT) AND cancer) AND (""systems biology"" OR computational)",((Class I PI3K AND AKT) AND cancer),0,0,748,61
NRAS|HRAS|RAP1A|FOXO3|PLCG2|PLCG1|ARF5|PTENP1|RHOA|YES1|NCOA3|ARAP3|INPPL1|PIK3CA|PIK3CB|FYN|ARF6|FGR|PIK3CG|ADAP1|PIK3R6|ZAP70|PIK3R1|SLC7A7|ARF1P1|LYN|BLNK|RNASE1|BLK|PDPK1|CYTH1|HCK|CYTH3|CYTH2|KRAS|INPP5D|ITK|SGK1|AKT1|SYK|DAPP1|PLEKHA1|PLEKHA2|HSP90AA1|LCK|BTK,Class I PI3K signaling events,PID,"(Class I PI3K AND cancer) AND (""systems biology"" OR computational)",(Class I PI3K AND cancer),0,0,641,46
HDAC1|HIST1H4B|HDAC3|HDAC2|YY1|HIST1H4F|HIST1H4C|HIST1H4D|SUMO1|HDAC8|HIST1H4I|ZFPM1|KAT2B|HIST1H4L|HIST2H2BE|FKBP3|NCOR2|NCOR1|LTBR|CHD3|HIST4H4|SAP30|CHD4|STAT3|RAN|HIST1H4H|DEFB119|HIST1H4K|MXD1|SAP18|HIST1H4J|NUP214|NFKB1|HIST1H4E|NUP210|MTA2|SIN3A|SMG5|HIST1H4A|SMAD7|NFKBIA|MBD2|XPO1|RANGAP1|PRMT5|SMURF1|PPARG|HIST2H3D|HIST2H3C|HIST2H3A|NUP62|EP300|GATA2|HIST2H2AC|GATA1|UBE2I|GATAD2A|TNFRSF1A|SIN3B|BTRC|RBBP7|RBBP4|NUP153|TFCP2|NR2C1|PRKACA|CREBBP|MBD3|MAX|GATAD2B|MBD3L2|RANBP2|WDR77,Signaling events mediated by HDAC Class I,PID,"(HDAC class I signaling AND cancer) AND (""systems biology"" OR computational)",(HDAC class I signaling AND cancer),0,0,599,73
HDAC1|KDM1A|YY1|GHR|RCAN1|CDKN1B|TLE1|HIF1A|TCF7L1|CD4|PTGDS|CTBP1-AS2|NCOR2|NCOR1|CREBBP|NCOA1|MAML2|MYOD1|MAML1|TWIST1|RBPJ|RB1|JAK2|RBM15|NEUROG3|MYB|GAA|CAMK2D|ASCL1|PARP1|BGLAP|AR|MIA3|GATA6|STAT3|GATA4|EP300|HEY2|C21orf33|HEY1|RBBP8|E2F1|PTF1A|GATA1|NOTCH1|RUNX2|KDR|HES6,Notch-mediated HESHEY network,PID,"(HESHEY AND cancer) AND (""systems biology"" OR computational)",(HESHEY AND cancer),0,0,564,48
UBE2I|CTDSPL|KPNB1|CALM2|CALM3|PPM1A|SMAD4|MAP3K1|SMAD2|SMAD3|NUP153|MAPK3|MAPK1|CTDSP1|PIAS4|NUP214|TGFBRAP1|CTDSP2|KPNA2,Regulation of cytoplasmic and nuclear SMAD23 signaling,PID,"(SMAD23 regulation AND cancer) AND (""systems biology"" OR computational)",(SMAD23 regulation AND cancer),0,0,155,19
ITGB1|PTK2|ITGB7|ITGA4|VCAM1|MADCAM1|RHOA,a4b7 Integrin signaling,PID,"((""integrin"" AND a4b7) AND cancer) AND (""systems biology"" OR computational)","((""integrin"" AND a4b7) AND cancer)",0,0,115,7
AURKB|INCENP|H3F3B|H3F3A|AURKC,Aurora C signaling,PID,"(Aurora C AND cancer) AND (""systems biology"" OR computational)",(Aurora C AND cancer),0,0,24,5
